"day","month","year","mintp","mxntp","p","evp"
"02","04","2014",21,26.46,3.4,2.24552472067487
"03","04","2014",20.54,26.61,5.2,2.25289842087612
"04","04","2014",20.2,25.1,0.66,2.15903195421435
"05","04","2014",18.51,24.09,2.02,1.88608184293845
"06","04","2014",17.77,26.31,0.03,1.68805213096219
"07","04","2014",18.3,26.37,0.02,1.67328643218449
"08","04","2014",18.83,25.9,1.25,1.86211998146594
"09","04","2014",20.27,28.51,0.83,2.13395032523615
"10","04","2014",21.33,28.6,0.92,2.20564473417028
"11","04","2014",21.67,27.38,0.72,2.26984092825043
"12","04","2014",20.68,28.42,2.15,2.21801646382617
"13","04","2014",20.83,29.59,0.05,2.16938153182154
"14","04","2014",21.16,29.66,0.04,2.26805187949356
"15","04","2014",21.66,28.16,0.55,2.29613510416727
"16","04","2014",20.63,27.27,0.01,2.06143936331779
"17","04","2014",20.24,27.71,0.07,2.02996301895331
"18","04","2014",20.12,29.2,0.04,2.04011858663519
"19","04","2014",21.13,30.49,0.07,2.14393297573127
"20","04","2014",21.72,30.31,0.1,2.20071564234134
"21","04","2014",22.13,30.78,0.18,2.28174470080128
"22","04","2014",22.92,30.92,0.18,2.42984002201511
"23","04","2014",23.25,31.23,0.41,2.39736982290668
"24","04","2014",23.11,29.87,0.85,2.39236555710777
"25","04","2014",22.53,31.26,0.2,2.30327884066603
"26","04","2014",23.21,30.16,0.16,2.24842309266316
"27","04","2014",23.54,30.73,1.48,2.5433579675088
"28","04","2014",23.52,31.62,1.45,2.42897204990536
"29","04","2014",23.29,30.49,0.83,2.29622435377881
"30","04","2014",22.36,28.87,0.07,2.04667036139406
"01","05","2014",21.65,26.85,0.51,2.03402471642063
"02","05","2014",21.86,25.9,4.28,2.19711132165782
"03","05","2014",22.34,27.01,7.26,2.38786568852896
"04","05","2014",22.29,27.35,2,2.40799204943635
"05","05","2014",21.6,29.09,10.71,2.34308674487425
"06","05","2014",21.75,27.67,4.91,2.43802085760808
"07","05","2014",21.06,27.26,1.7,2.22590438188464
"08","05","2014",21.39,27.19,1.46,2.26153414931809
"09","05","2014",22.01,30.1,2.23,2.34322509423253
"10","05","2014",22.87,26.52,15.36,2.56933048189301
"11","05","2014",22.04,27.67,4.3,2.37218353869986
"12","05","2014",22.68,29.73,3.01,2.47843207382333
"13","05","2014",23.69,29.35,3.24,2.6438139932445
"14","05","2014",23.1,28.97,10.05,2.64674523700556
"15","05","2014",23.47,30.09,0.74,2.68948821198766
"16","05","2014",23.95,28.29,15.07,2.77216191224723
"17","05","2014",23.67,29.13,2.64,2.7047213414668
"18","05","2014",23.82,27.21,2.82,2.40083548637761
"19","05","2014",23.89,29.48,6.31,2.58278062201435
"20","05","2014",23.85,27.82,10.26,2.70852612455473
"21","05","2014",23.31,27.43,16.21,2.71099337562308
"22","05","2014",23.69,27.98,17.2,2.76180423863498
"23","05","2014",23.17,28.29,2.77,2.63283435104168
"24","05","2014",23.95,28.43,2.43,2.64422303119877
"25","05","2014",23.28,30.89,2.9,2.66996849188713
"26","05","2014",24.54,30.77,1.22,2.76680492501681
"27","05","2014",24.69,30.15,3.07,2.87090086725327
"28","05","2014",24.5,28.95,5.27,2.92119965629753
"29","05","2014",25.16,29.13,27.4,3.18582715039678
"30","05","2014",24.81,29.5,5.94,2.92424283025419
"31","05","2014",24.36,29.23,0.29,2.74154595638002
"01","06","2014",24.79,30.99,1.38,2.7790659897059
"02","06","2014",24.75,31.1,0.52,2.76629222448071
"03","06","2014",23.98,29.18,0.08,2.85498338485231
"04","06","2014",24.54,27.99,5.87,2.98179793683181
"05","06","2014",24.3,29.36,5.51,2.86371513242569
"06","06","2014",24.36,29.03,26.88,2.90203879240767
"07","06","2014",24.01,28.7,11.02,2.75043635732115
"08","06","2014",23.42,26.74,12.52,2.68756924107168
"09","06","2014",24.03,27.72,34.82,2.88517168662634
"10","06","2014",24.98,26.74,20.44,3.07603107366443
"11","06","2014",24.36,29.24,5.55,3.07474706465905
"12","06","2014",24.33,29.31,10.48,3.06495185288803
"13","06","2014",23.01,28.42,5.57,2.70885532976665
"14","06","2014",22.61,28.11,20.28,2.74402375095554
"15","06","2014",24.29,26.92,25.7,2.98787205551058
"16","06","2014",25.22,27.15,18.67,3.11291215085036
"17","06","2014",24.85,28.04,3.19,3.0602109781045
"18","06","2014",25.07,28.14,0.9,3.10346342047133
"19","06","2014",24.97,28.84,0.18,3.04872462950985
"20","06","2014",24.46,29.31,0.16,2.96685707902222
"21","06","2014",24.29,29.25,0.8,2.90465789707076
"22","06","2014",25.33,29.14,0.86,3.07357839389156
"23","06","2014",25.15,28.66,0.5,3.01503118607064
"24","06","2014",24.78,28.61,2.13,2.98681587929356
"25","06","2014",24.6,29.17,3.26,2.99236319361202
"26","06","2014",24.98,28.79,4.78,2.97961013631712
"27","06","2014",25.1,29.47,0.75,3.05974235587841
"28","06","2014",24.56,30.93,0.38,2.9385863420889
"29","06","2014",25.5,30.49,5.35,3.17109853660684
"30","06","2014",25.42,29.06,1.54,3.0354145373918
"01","07","2014",24.96,30.6,1.3,2.9871479818602
"02","07","2014",24.87,31.77,0.43,2.87874437733224
"03","07","2014",24.8,31.52,0.07,2.82843563127262
"04","07","2014",24.73,31.49,0.22,2.95112915593303
"05","07","2014",25.6,31.61,1.02,2.98744956928226
"06","07","2014",26.22,30.47,2.61,3.02798030934015
"07","07","2014",26.5,30.41,0.88,3.23529075871054
"08","07","2014",26.23,31.61,1.88,3.26937470427187
"09","07","2014",26.24,31.27,0.37,3.16917527500679
"10","07","2014",26.51,29.29,2.27,3.21261883267885
"11","07","2014",25.84,29.92,0.47,3.08083709761288
"12","07","2014",25.64,30.02,0.34,3.05614675844459
"13","07","2014",24.99,31.4,0.34,2.97034338550589
"14","07","2014",25.17,31.79,0.16,2.986091505456
"15","07","2014",25.44,31.97,0.22,3.0012636400677
"16","07","2014",25.4,31.89,0.22,2.9256862904875
"17","07","2014",25.11,32.04,0.96,2.8051529901986
"18","07","2014",25.78,31.13,3.4,2.99302249596779
"19","07","2014",25.62,31.39,6.76,2.99431902690803
"20","07","2014",25.24,29.34,3.35,2.88179552390186
"21","07","2014",25.53,32.19,3.04,2.8764791822193
"22","07","2014",25.73,32.35,5.82,2.93548515532551
"23","07","2014",26.12,30.67,46.08,3.17877644636269
"24","07","2014",25.64,26.86,65.24,3.11395620241029
"25","07","2014",25.32,28.59,7.53,3.0377657513669
"26","07","2014",25,28.62,13.36,3.00425175717405
"27","07","2014",24.67,30.03,1.63,2.96910926948941
"28","07","2014",24.32,31,1.73,2.80023382830838
"29","07","2014",24.86,29.97,2.85,2.91391271202292
"30","07","2014",25.37,30.1,11.34,3.03926089670604
"31","07","2014",25.35,30.25,3.36,3.09154278462599
"01","08","2014",25.82,30.01,1.14,3.26245906030608
"02","08","2014",25.69,28.6,6.2,3.1887047181063
"03","08","2014",25.34,28.88,5.2,3.078072130054
"04","08","2014",25.4,28.34,6.14,3.00954922840218
"05","08","2014",24.95,28.36,3.32,2.99517553401753
"06","08","2014",24.65,28.91,2.3,2.91798380690584
"07","08","2014",24.84,29.65,4.63,2.94404206796912
"08","08","2014",25.23,29.06,37.69,3.16100812890221
"09","08","2014",25.84,28.96,32.08,3.28413096210648
"10","08","2014",25.59,28.35,59.48,3.218452713032
"11","08","2014",25.32,28.11,51.8,3.17726983542507
"12","08","2014",25.01,27.38,65.51,3.08515718069822
"13","08","2014",24.68,26.48,93.99,2.99689384173306
"14","08","2014",24.72,27.01,41.6,3.04558482292459
"15","08","2014",24.74,28.33,8.8,3.13338857112573
"16","08","2014",24.82,28.7,2.45,3.06154983096339
"17","08","2014",24.98,28.89,5.4,2.9986727144973
"18","08","2014",24.25,28.51,4.78,2.90786399242048
"19","08","2014",24.51,28.36,24.3,3.01942374509394
"20","08","2014",24.35,26.85,6.59,2.88814262602045
"21","08","2014",23.5,28.11,0.59,2.79845374649044
"22","08","2014",23.41,30.35,12.24,2.75420588129046
"23","08","2014",23.98,30.02,5.26,2.83002378753783
"24","08","2014",24.31,30.11,0.49,2.83438685456628
"25","08","2014",24.36,30.12,0.19,2.87373313865322
"26","08","2014",24.46,29.93,6.88,2.89827571471932
"27","08","2014",24.39,28.91,5.19,2.86362191509523
"28","08","2014",24.23,28.87,0.74,2.79402426479417
"29","08","2014",24.35,29.32,0.8,2.83912502676159
"30","08","2014",24.66,28.74,2.44,2.85208101788127
"31","08","2014",24.69,29.29,3.73,2.86115653957926
"01","09","2014",24.25,29.48,3.02,2.84802421693586
"02","09","2014",24.82,30.41,1.45,2.86535200422824
"03","09","2014",25.44,29.92,0.36,2.83913311986187
"04","09","2014",24.84,29.51,0.32,2.89091816460476
"05","09","2014",24.59,30.05,0.09,2.90103294677366
"06","09","2014",24.69,30.83,0.57,2.89865218134496
"07","09","2014",25.81,29.58,0.27,3.032918305373
"08","09","2014",25.39,28.24,0.79,3.07216603746846
"09","09","2014",24.91,28.5,1.05,2.96438646649753
"10","09","2014",24.96,28.86,0.88,2.97440803510615
"11","09","2014",24.86,30.78,0.83,2.88224637387838
"12","09","2014",24.99,29.99,2.51,2.89368538436222
"13","09","2014",24.28,30.08,26.04,2.92564599516815
"14","09","2014",25.21,30.45,6.1,2.79369926638656
"15","09","2014",25.17,30.63,3.33,2.9551131106586
"16","09","2014",25.8,29.79,4.23,3.06560850192385
"17","09","2014",25.26,30.1,1.97,3.06515038391362
"18","09","2014",25.14,30.47,0.35,3.04720907317193
"19","09","2014",25.37,30.29,0.82,3.10856137882707
"20","09","2014",24.32,30.55,8.82,2.93415206270079
"21","09","2014",24.88,29.01,38.94,2.9776811684084
"22","09","2014",23.96,26.94,100.71,2.96703221510699
"23","09","2014",22.8,27.42,6.09,2.76413946285056
