day,month,year,irrigation
1,11,1982,30
1,1,1983,40
1,2,1983,40
1,11,1983,30
1,1,1984,40
1,2,1984,40
1,11,1984,30
1,1,1985,40
1,2,1985,40
1,11,1985,30
1,1,1986,40
1,2,1986,40
1,11,1986,30
1,1,1987,40
1,2,1987,40
1,11,1987,30
1,1,1988,40
1,2,1988,40
1,11,1988,30
1,1,1989,40
1,2,1989,40
1,11,1989,30
1,1,1990,40
1,2,1990,40
1,11,1990,30
1,1,1991,40
1,2,1991,40
1,11,1991,30
1,1,1992,40
1,2,1992,40
1,11,1992,30
1,1,1993,40
1,2,1993,40
1,11,1993,30
1,1,1994,40
1,2,1994,40
1,11,1994,30
1,1,1995,40
1,2,1995,40
1,11,1995,30
1,1,1996,40
1,2,1996,40
1,11,1996,30
1,1,1997,40
1,2,1997,40
1,11,1997,30
1,1,1998,40
1,2,1998,40
1,11,1998,30
1,1,1999,40
1,2,1999,40
1,11,1999,30
1,1,2000,40
1,2,2000,40
1,11,2000,30
1,1,2001,40
1,2,2001,40
