day,month,year,mintp,mxntp,p,evp
2,1,1982,11.32,17.48,0,1.217213978
3,1,1982,9.91,17.18,0,1.080397468
4,1,1982,8.64,16.27,0,1.068354627
5,1,1982,6.96,19.5,0,1.067100133
6,1,1982,9.01,17.19,0.01,1.325008042
7,1,1982,10.41,17.98,0,1.382547444
8,1,1982,9.79,19.69,0.01,1.314702382
9,1,1982,11.74,20.76,0,1.429344221
10,1,1982,10.27,22.54,0,1.271813325
11,1,1982,10.45,20.8,0,1.143773352
12,1,1982,9.56,20.93,0,1.073073062
13,1,1982,8.1,18.96,0,0.903458781
14,1,1982,9.1,23.64,0,0.888697065
15,1,1982,11.17,19.01,0.11,1.263868765
16,1,1982,12.3,16.94,9.02,1.406433378
17,1,1982,10.26,15.69,21.68,1.265158569
18,1,1982,10.25,16.2,1.96,1.410830962
19,1,1982,13.33,15.65,10.35,1.467465624
20,1,1982,11.11,13.68,46.79,1.288644484
21,1,1982,9.73,15.78,9.88,1.227895239
22,1,1982,9.63,13.97,2.43,1.186348428
23,1,1982,9.5,13.1,2.4,1.184439519
24,1,1982,9.35,12.54,5.43,1.113799121
25,1,1982,8.71,12.89,5.8,1.072135189
26,1,1982,8.22,12.13,4.96,1.009313603
27,1,1982,7.68,12.97,7.54,1.083011168
28,1,1982,7.93,14.82,4.76,1.013312831
29,1,1982,7.98,12.45,10.72,1.056631385
30,1,1982,10.85,14.49,2.85,1.127379559
31,1,1982,11.17,15.86,3.89,1.222855474
1,2,1982,11.06,15.56,0.57,1.209677715
2,2,1982,11.93,16.07,0.94,1.214537948
3,2,1982,8.98,15.84,1.59,1.070821649
4,2,1982,8.54,14.45,0.82,1.028184378
5,2,1982,9.21,15.97,0.62,1.168880722
6,2,1982,9.41,16.08,2.68,1.214713689
7,2,1982,8.71,15.67,0.17,1.140252153
8,2,1982,7.97,16.89,0,1.123755944
9,2,1982,8.52,17.97,0.03,1.170453844
10,2,1982,8.71,16.7,0.34,1.289420944
11,2,1982,8.92,16.02,0.53,1.146827862
12,2,1982,8.59,15.45,0.09,0.990717492
13,2,1982,7.67,16.64,0.12,1.143722187
14,2,1982,8.34,16.76,0.21,1.153596101
15,2,1982,9.37,16.44,1.51,1.199221309
16,2,1982,9.51,17.82,0.79,1.22437288
17,2,1982,10.07,18.4,0.13,1.288713986
18,2,1982,9.67,13.89,5.49,1.203726627
19,2,1982,8.5,16.59,1.71,1.101882588
20,2,1982,9.67,16.37,1.63,1.244284618
