PlantDate,HarvestDate,Crop
30/10/1982,28/05/1983,Wheat
03/11/1983,01/06/1984,Wheat
05/12/1984,03/06/1985,Wheat
01/10/1985,30/05/1986,Wheat
18/10/1986,16/06/1987,Wheat
01/10/1987,29/05/1988,Wheat
01/10/1988,30/05/1989,Wheat
10/10/1989,08/06/1990,Wheat
13/11/1990,12/06/1991,Wheat
01/11/1991,29/05/1992,Wheat
01/10/1992,30/05/1993,Wheat
26/11/1993,25/05/1994,Wheat
01/10/1994,30/05/1995,Wheat
01/10/1995,29/05/1996,Wheat
01/10/1996,30/05/1997,Wheat
01/10/1997,30/05/1998,Wheat
02/10/1998,30/05/1999,Wheat
28/11/1999,26/05/2000,Wheat
30/12/2000,28/05/2001,Wheat
01/10/2001,30/05/2002,Wheat
